Euring,Species,Vetenskapligt.namn,Family,ZeroInfl
1860,Mallard,Anas platyrhynchos,nbinom2,Yes
2030,Tufted_duck,Aythya fuligula,nbinom2,Yes
2120,Long-tailed_duck,Clangula hyemalis,nbinom2,No
2210,Red-breasted_merganser,Mergus serrator,nbinom2,Yes
3290,Willow_grouse,Lagopus lagopus,nbinom2,No
3300,Ptarmigan,Lagopus muta,nbinom2,Yes
4700,Ringed_plover,Charadrius hiaticula,nbinom2,No
4820,Dotterel,Charadrius morinellus,nbinom2,No
4820,Dotterel,Eudromias morinellus,nbinom2,No
4850,Golden_plover,Pluvialis apricaria,nbinom2,No
5020,Temminck's_stint,Calidris temminckii,nbinom2,Yes
5100,Purple_sandpiper,Calidris maritima,nbinom2,No
5120,Dunlin,Calidris alpina,nbinom2,No
5170,Ruff,Calidris pugnax,nbinom2,No
5170,Ruff,Philomachus pugnax,nbinom2,No
5180,Jack_snipe,Lymnocryptes minimus,nbinom2,No
5190,Snipe,Gallinago gallinago,nbinom2,Yes
5380,Whimbrel,Numenius phaeopus,nbinom2,No
5450,Spotted_redshank,Tringa erythropus,nbinom2,No
5460,Redshank,Tringa totanus,nbinom2,No
5540,Wood_sandpiper,Tringa glareola,nbinom2,No
5640,Red-necked_phalarope,Phalaropus lobatus,nbinom2,No
5680,Long-tailed_skua,Stercorarius longicaudus,nbinom2,Yes
5900,Common_gull,Larus canus,nbinom2,Yes
6160,Arctic_tern,Sterna paradisaea,nbinom2,Yes
7240,Cuckoo,Cuculus canorus,nbinom2,Yes
10110,Meadow_pipit,Anthus pratensis,nbinom2,No
10170,Yellow_wagtail,Motacilla flava,nbinom2,Yes
10500,Dipper,Cinclus cinclus,nbinom2,No
11060,Bluethroat,Luscinia svecica,nbinom2,Yes
11370,Whinchat,Saxicola rubetra,nbinom2,Yes
11460,Wheatear,Oenanthe oenanthe,nbinom2,Yes
11860,Ring_ouzel,Turdus torquatus,nbinom2,Yes
11980,Fieldfare,Turdus pilaris,nbinom2,Yes
12010,Redwing,Turdus iliacus,nbinom2,Yes
13120,Willow_warbler,Phylloscopus trochilus,nbinom2,Yes
15720,Raven,Corvus corax,nbinom2,Yes
16630,Common_redpoll,Acanthis flammea,nbinom2,Yes
16630,Common_redpoll,Carduelis flammea,nbinom2,Yes
18470,Lapland_bunting,Calcarius lapponicus,nbinom2,Yes
18500,Snow_bunting,Plectrophenax nivalis,nbinom2,No
18770,Reed_bunting,Emberiza schoeniclus,nbinom2,Yes
18770,Reed_bunting,Schoeniclus schoeniclus,nbinom2,Yes
